Country_Code,Country_Name,GDP,BLI
AUS,Australie,46932.82,7.3
AUT,Autriche,40267.21,7.1
BEL,Belgique,36935.80,6.9
BRA,Brésil,7984.55,6.4
CAN,Canada,39906.14,7.4
CHE,Suisse,74297.12,7.5
CHL,Chili,12286.17,6.5
COL,Colombie,5602.55,6.3
CZE,"République tchèque",15892.59,6.7
DEU,Allemagne,37755.33,7.0
DNK,Danemark,47994.02,7.6
ESP,Espagne,23819.86,6.3
EST,Estonie,15921.29,5.7
FIN,Finlande,38655.52,7.6
FRA,France,34696.42,6.5
GBR,Royaume-Uni,40310.18,6.8
GRC,Grèce,16636.13,5.4
HUN,Hongrie,11272.21,5.6
IRL,Irlande,47290.95,7.0
ISL,Islande,46834.02,7.5
ISR,Israël,32549.09,7.2
ITA,Italie,27505.33,6.0
JPN,Japon,29917.24,5.9
KOR,Corée,25045.14,5.9
LTU,Lituanie,13086.82,5.9
LUX,Luxembourg,93930.44,6.9
LVA,Lettonie,12541.88,5.9
MEX,Mexique,8297.01,6.5
NLD,Pays-Bas,40155.85,7.4
NOR,Norvège,68906.67,7.6
NZL,Nouvelle-Zélande,34116.12,7.3
POL,Pologne,11507.45,6.1
PRT,Portugal,17609.84,5.4
RUS,Russie,8339.03,5.8
SVK,"République slovaque",14727.43,6.2
SVN,Slovénie,19093.37,5.9
SWE,Suède,45923.84,7.3
TUR,Turquie,8691.25,5.5
USA,États-Unis,51393.24,6.9
ZAF,"Afrique du Sud",5244.36,4.7
